Income report 2024

Date,Asset,Amount,Value (EUR),Type,Description,Wallet Name
06/02/2024 17:05,ETH,"0,05000000","4,00",Reward,,Binance
07/02/2024 12:06,ETH,"0,05000000","4,00",Reward,,Binance
08/02/2024 13:07,ETH,"0,05000000","4,00",Reward,,Binance
09/02/2024 14:08,ETH,"0,05000000","4,00",Reward,,Binance
10/02/2024 15:09,ETH,"0,05000000","4,00",Reward,,Binance
11/03/2024 16:10,ETH,"0,05000000","4,00",Reward,,Binance
12/03/2024 17:11,ETH,"0,05000000","4,00",Reward,,Binance
13/03/2024 12:12,ETH,"0,05000000","4,00",Reward,,Binance
14/03/2024 13:13,ETH,"0,05000000","4,00",Reward,,Binance
15/03/2024 14:14,ETH,"0,05000000","4,00",Reward,,Binance
16/04/2024 15:15,ETH,"0,05000000","4,00",Reward,,Binance
17/04/2024 16:16,ETH,"0,05000000","4,00",Reward,,Binance
18/04/2024 17:17,ETH,"0,05000000","4,00",Reward,,Binance
19/04/2024 12:18,ETH,"0,05000000","4,00",Reward,,Binance
20/04/2024 13:19,ETH,"0,05000000","4,00",Reward,,Binance
21/05/2024 14:20,ETH,"0,05000000","4,00",Reward,,Binance
22/05/2024 15:21,ETH,"0,05000000","4,00",Reward,,Binance
23/05/2024 16:22,ETH,"0,05000000","4,00",Reward,,Binance
24/05/2024 17:23,ETH,"0,05000000","4,00",Reward,,Binance
25/05/2024 12:24,ETH,"0,05000000","4,00",Reward,,Binance
26/06/2024 13:25,ETH,"0,05000000","4,00",Reward,,Binance
27/06/2024 14:26,ETH,"0,05000000","4,00",Reward,,Binance
28/06/2024 15:27,ETH,"0,05000000","4,00",Reward,,Binance
01/06/2024 16:28,ETH,"0,05000000","4,00",Reward,,Binance
02/06/2024 17:29,ETH,"0,05000000","4,00",Reward,,Binance
03/07/2024 12:30,ETH,"0,05000000","4,00",Reward,,Binance
04/07/2024 13:31,ETH,"0,05000000","4,00",Reward,,Binance
05/07/2024 14:32,ETH,"0,05000000","4,00",Reward,,Binance
06/07/2024 15:33,ETH,"0,05000000","4,00",Reward,,Binance
07/07/2024 16:34,ETH,"0,05000000","4,00",Reward,,Binance
08/08/2024 17:35,ETH,"0,05000000","4,00",Reward,,Binance
09/08/2024 12:36,ETH,"0,05000000","4,00",Reward,,Binance
10/08/2024 13:37,ETH,"0,05000000","4,00",Reward,,Binance
11/08/2024 14:38,ETH,"0,05000000","4,00",Reward,,Binance
12/08/2024 15:39,ETH,"0,05000000","4,00",Reward,,Binance
13/09/2024 16:40,ETH,"0,05000000","4,00",Reward,,Binance
14/09/2024 17:41,ETH,"0,05000000","4,00",Reward,,Binance
15/09/2024 12:42,ETH,"0,05000000","4,00",Reward,,Binance
16/09/2024 13:43,ETH,"0,05000000","4,00",Reward,,Binance
17/09/2024 14:44,ETH,"0,05000000","4,00",Reward,,Binance
18/10/2024 15:45,ETH,"0,05000000","4,00",Reward,,Binance
19/10/2024 16:46,ETH,"0,05000000","4,00",Reward,,Binance
20/10/2024 17:47,ETH,"0,05000000","4,00",Reward,,Binance
21/10/2024 12:48,ETH,"0,05000000","4,00",Reward,,Binance
22/10/2024 13:49,ETH,"0,05000000","4,00",Reward,,Binance
01/01/2024 14:00,ADA,"10,00000000","2,30",Airdrop,,Kraken
02/01/2024 15:01,ADA,"10,00000000","2,30",Airdrop,,Kraken
03/01/2024 16:02,ADA,"10,00000000","2,30",Airdrop,,Kraken
04/01/2024 17:03,ADA,"10,00000000","2,30",Airdrop,,Kraken
05/02/2024 14:04,ADA,"10,00000000","2,30",Airdrop,,Kraken
06/02/2024 15:05,ADA,"10,00000000","2,30",Airdrop,,Kraken
07/02/2024 16:06,ADA,"10,00000000","2,30",Airdrop,,Kraken
08/02/2024 17:07,ADA,"10,00000000","2,30",Airdrop,,Kraken
09/03/2024 14:08,ADA,"10,00000000","2,30",Airdrop,,Kraken
10/03/2024 15:09,ADA,"10,00000000","2,30",Airdrop,,Kraken
11/03/2024 16:10,ADA,"10,00000000","2,30",Airdrop,,Kraken
12/03/2024 17:11,ADA,"10,00000000","2,30",Airdrop,,Kraken
13/04/2024 14:12,ADA,"10,00000000","2,30",Airdrop,,Kraken
14/04/2024 15:13,ADA,"10,00000000","2,30",Airdrop,,Kraken
15/04/2024 16:14,ADA,"10,00000000","2,30",Airdrop,,Kraken
16/04/2024 17:15,ADA,"10,00000000","2,30",Airdrop,,Kraken
17/05/2024 14:16,ADA,"10,00000000","2,30",Airdrop,,Kraken
18/05/2024 15:17,ADA,"10,00000000","2,30",Airdrop,,Kraken
19/05/2024 16:18,ADA,"10,00000000","2,30",Airdrop,,Kraken
20/05/2024 17:19,ADA,"10,00000000","2,30",Airdrop,,Kraken
21/06/2024 14:20,ADA,"10,00000000","2,30",Airdrop,,Kraken
22/06/2024 15:21,ADA,"10,00000000","2,30",Airdrop,,Kraken
23/06/2024 16:22,ADA,"10,00000000","2,30",Airdrop,,Kraken
24/06/2024 17:23,ADA,"10,00000000","2,30",Airdrop,,Kraken
25/07/2024 14:24,ADA,"10,00000000","2,30",Airdrop,,Kraken
26/07/2024 15:25,ADA,"10,00000000","2,30",Airdrop,,Kraken
27/07/2024 16:26,ADA,"10,00000000","2,30",Airdrop,,Kraken
28/07/2024 17:27,ADA,"10,00000000","2,30",Airdrop,,Kraken
01/08/2024 14:28,ADA,"10,00000000","2,30",Airdrop,,Kraken
02/08/2024 15:29,ADA,"10,00000000","2,30",Airdrop,,Kraken
03/08/2024 16:30,ADA,"10,00000000","2,30",Airdrop,,Kraken
04/08/2024 17:31,ADA,"10,00000000","2,30",Airdrop,,Kraken
05/09/2024 14:32,ADA,"10,00000000","2,30",Airdrop,,Kraken
06/09/2024 15:33,ADA,"10,00000000","2,30",Airdrop,,Kraken
07/09/2024 16:34,ADA,"10,00000000","2,30",Airdrop,,Kraken
08/09/2024 17:35,ADA,"10,00000000","2,30",Airdrop,,Kraken
09/10/2024 14:36,ADA,"10,00000000","2,30",Airdrop,,Kraken
10/10/2024 15:37,ADA,"10,00000000","2,30",Airdrop,,Kraken
11/10/2024 16:38,ADA,"10,00000000","2,30",Airdrop,,Kraken
12/10/2024 17:39,ADA,"10,00000000","2,30",Airdrop,,Kraken
15/01/2024 10:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/02/2024 11:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/03/2024 12:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/04/2024 13:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/05/2024 14:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/06/2024 15:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/07/2024 16:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/08/2024 17:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/09/2024 10:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
15/10/2024 11:00,EUR,"3,00","3,00",Reward,Referral bonus,Kraken
